alcaldia,Pob2019_H,Pob2019_M,Pob_Tot2019
ALVARO OBREGON,360335,395285,755620
AZCAPOTZALCO,192944,216916,409860
BENITO JUAREZ,198095,232259,430354
COYOACAN,293039,330644,623683
CUAJIMALPA,95608,103772,199380
CUAUHTEMOC,259989,287714,547703
GUSTAVO A. MADERO,567165,613564,1180729
IZTACALCO,186979,207469,394448
IZTAPALAPA,885252,938216,1823468
MAGDALENA CONTRERAS,117979,127396,245375
MIGUEL HIDALGO,175144,203564,378708
MILPA ALTA,67969,71066,139035
TLAHUAC,177029,190377,367406
TLALPAN,326554,355174,681728
VENUSTIANO CARRANZA,204702,229588,434290
XOCHIMILCO,205763,213663,419426
